date,dayofyear,active.calories,steps,weight,steps.lag,calorie.lag
8/29/2016,242,477.8,11.67,171.2,10.43,443.7
8/30/2016,243,744.7,15.51,171.7,11.67,477.8
8/31/2016,244,383.8,10.09,171.2,15.51,744.7
9/1/2016,245,714.7,13.67,172.4,10.09,383.8
9/2/2016,246,545.5,15.72,171.3,13.67,714.7
9/3/2016,247,527.6,12.58,173.3,15.72,545.5
9/4/2016,248,434.6,11.49,172.3,12.58,527.6
9/5/2016,249,773.5,15.04,171.8,11.49,434.6
9/6/2016,250,466,10.9,171.9,15.04,773.5
9/7/2016,251,484.6,10.5,172.3,10.9,466
9/8/2016,252,390.9,8.98,171.6,10.5,484.6
9/9/2016,253,515.5,13.07,171,8.98,390.9
9/10/2016,254,288.2,6.45,169.7,13.07,515.5
9/11/2016,255,379.2,9.02,171.4,6.45,288.2
9/12/2016,256,1015.1,20.93,171.6,9.02,379.2
9/13/2016,257,511.3,12.92,171.8,20.93,1015.1
9/14/2016,258,397.1,8.99,171.4,12.92,511.3
9/15/2016,259,537.6,10.82,170.7,8.99,397.1
9/18/2016,262,541.2,12.76,171.5,10.82,537.6
9/19/2016,263,439.9,10.79,171.1,12.76,541.2
9/20/2016,264,610.8,13.66,170,10.79,439.9
9/21/2016,265,521.6,10.83,171.1,13.66,610.8
9/22/2016,266,894.4,16.85,171.7,10.83,521.6
9/23/2016,267,532.6,13.67,172.5,16.85,894.4
9/24/2016,268,547.3,12.59,171,13.67,532.6
9/25/2016,269,891.2,19.94,170.9,12.59,547.3
9/26/2016,270,1170,20.44,171.4,19.94,891.2
9/27/2016,271,579.2,14.26,170.1,20.44,1170
9/28/2016,272,526.2,10.28,172,14.26,579.2
9/29/2016,273,670,12.64,173.8,10.28,526.2
9/30/2016,274,705.9,15.41,172.5,12.64,670
10/1/2016,275,841.2,15.41,171.8,15.41,705.9
10/2/2016,276,1079.5,15.11,171.7,15.41,841.2
10/3/2016,277,577.5,11.63,170.8,15.11,1079.5
10/4/2016,278,635.1,13.44,172,11.63,577.5
10/5/2016,279,560.5,11.36,172.3,13.44,635.1
10/6/2016,280,427.9,6.1,171.9,11.36,560.5
10/10/2016,284,560,11.86,169.9,6.1,427.9
10/11/2016,285,569.1,10.94,171.8,11.86,560
10/12/2016,286,492,9.73,171.7,10.94,569.1
10/13/2016,287,669.2,14.85,172,9.73,492
10/14/2016,288,598.6,11.65,172.3,14.85,669.2
10/15/2016,289,575.6,12.54,172.6,11.65,598.6
10/16/2016,290,557.4,12,170.7,12.54,575.6
10/17/2016,291,1244.3,17.7,170.4,12,557.4
10/18/2016,292,582.6,12.12,172.5,17.7,1244.3
10/19/2016,293,560.3,11.24,173.1,12.12,582.6
10/20/2016,294,735.5,14.22,171.8,11.24,560.3
10/21/2016,295,542.1,12.04,172.4,14.22,735.5
10/22/2016,296,1304.2,20.73,171.4,12.04,542.1
10/23/2016,297,438,8.53,172.3,20.73,1304.2
10/24/2016,298,694.2,13.52,171.9,8.53,438
10/25/2016,299,599.8,11.5,171.9,13.52,694.2
10/26/2016,300,510.6,9.82,171.4,11.5,599.8
10/27/2016,301,546.9,10.84,170.9,9.82,510.6
10/28/2016,302,1195.2,17.7,171.6,10.84,546.9
10/29/2016,303,422.4,9.23,173.3,17.7,1195.2
10/30/2016,304,694.5,17.54,172.2,9.23,422.4
10/31/2016,305,1109.8,14,172.6,17.54,694.5
11/1/2016,306,1218.3,17.68,172.5,14,1109.8
11/2/2016,307,551.2,11.74,171.5,17.68,1218.3
11/3/2016,308,1108.1,16.08,172,11.74,551.2
11/4/2016,309,577.6,10.94,172.3,16.08,1108.1
11/5/2016,310,396.7,7.91,169.9,10.94,577.6
11/6/2016,311,478.4,8.9,170.2,7.91,396.7
11/7/2016,312,1150,16.3,171.5,8.9,478.4
11/8/2016,313,798,17.48,173.9,16.3,1150
11/9/2016,314,632.2,13.16,173.2,17.48,798
11/10/2016,315,563.9,10.58,172.8,13.16,632.2
11/11/2016,316,1159,15.62,173.1,10.58,563.9
11/12/2016,317,580.1,13.81,172,15.62,1159
11/13/2016,318,475.6,9.78,169.6,13.81,580.1
11/14/2016,319,639.8,13.71,170.5,9.78,475.6
11/15/2016,320,635.3,12.37,172.1,13.71,639.8
11/16/2016,321,485.7,10.44,171.3,12.37,635.3
11/19/2016,324,579.8,14.03,171.4,10.44,485.7
11/20/2016,325,514.4,9.44,171,14.03,579.8
11/21/2016,326,1063.9,15.81,171.2,9.44,514.4
11/22/2016,327,566.7,11.18,171.9,15.81,1063.9
11/23/2016,328,549,10.76,171.5,11.18,566.7
11/24/2016,329,295,5.26,171.4,10.76,549
